text,signature,signature_id,category,severity,proto,app_proto,src_ip,src_port,dest_ip,dest_port,hostname,uri,timestamp,source,count,date
ET MALWARE Common Adware Library ISX User Agent Detected | A Network Trojan was detected | http | www.k9pcfixer.com | /voice/sv | 80,ET MALWARE Common Adware Library ISX User Agent Detected,2014137,A Network Trojan was detected,1,TCP,http,192.168.0.54,52860,162.13.99.124,80,www.k9pcfixer.com,/voice/sv,2015-03-13T05:38:16.234676-0600,first-org-2015,2,2015-03-13
ET MALWARE Common Adware Library ISX User Agent Detected | A Network Trojan was detected | http | www.k9pcfixer.com | /voice/sv/ | 80,ET MALWARE Common Adware Library ISX User Agent Detected,2014137,A Network Trojan was detected,1,TCP,http,192.168.0.54,52860,162.13.99.124,80,www.k9pcfixer.com,/voice/sv/,2015-03-13T05:38:16.306181-0600,first-org-2015,2,2015-03-13
"ET MALWARE W32/OpenCandy Adware Checkin | A Network Trojan was detected | http | api.opencandy.com | /?bn=1&bv=41.0.N.89&clientv=103&cltzone=60&csk=N-N&language=sv,sv&method=get_offers&mstime=0.234&num_offers=2&os=WIN6.1S | 80",ET MALWARE W32/OpenCandy Adware Checkin,2014122,A Network Trojan was detected,1,TCP,http,192.168.0.54,53565,162.209.122.21,80,api.opencandy.com,"/?bn=1&bv=41.0.2272.89&clientv=103&cltzone=60&csk=16588997377832470999-09624453944537676288&language=sv,sv&method=get_offers&mstime=0.234&num_offers=2&os=WIN6.1SP1-64&product_key=15e24d1c80adabd288bb4ac80b4c4f9f&sswnt=C1ByJSNcFxBaQTY1alQnXRMGKE1SNENBKjVc&tm=2015-03-13%2010:49:10.860&v=1.0&signature=9bdebe6ca0dbe8885985afa661eb7796",2015-03-13T05:48:46.166276-0600,first-org-2015,1,2015-03-13
ET P2P Edonkey Publicize File ACK | Potential Corporate Privacy Violation | failed | 55269,ET P2P Edonkey Publicize File ACK,2003311,Potential Corporate Privacy Violation,1,UDP,failed,104.246.96.148,22054,192.168.0.54,55269,,,2015-03-25T04:07:53.803407-0600,first-org-2015,1,2015-03-25
ET POLICY Dropbox Client Broadcasting | Potential Corporate Privacy Violation | failed | 17500,ET POLICY Dropbox Client Broadcasting,2012648,Potential Corporate Privacy Violation,1,UDP,failed,192.168.0.54,17500,255.255.255.255,17500,,,2015-03-26T18:00:38.783776-0600,first-org-2015,759,2015-03-27
ET POLICY Dropbox DNS Lookup - Possible Offsite File Backup in Use | Potential Corporate Privacy Violation | dns | 53,ET POLICY Dropbox DNS Lookup - Possible Offsite File Backup in Use,2020565,Potential Corporate Privacy Violation,1,UDP,dns,192.168.0.54,63642,192.168.0.1,53,,,2015-03-27T02:49:35.170605-0600,first-org-2015,100,2015-03-27
ET POLICY Dropbox.com Offsite File Backup in Use | Potential Corporate Privacy Violation | tls | 49170,ET POLICY Dropbox.com Offsite File Backup in Use,2012647,Potential Corporate Privacy Violation,1,TCP,tls,108.160.165.9,443,192.168.0.54,49170,,,2015-04-10T23:35:48.221425-0600,first-org-2015,1,2015-04-11
ET POLICY Dropbox.com Offsite File Backup in Use | Potential Corporate Privacy Violation | tls | 49174,ET POLICY Dropbox.com Offsite File Backup in Use,2012647,Potential Corporate Privacy Violation,1,TCP,tls,108.160.165.84,443,192.168.0.54,49174,,,2015-03-17T03:15:16.804167-0600,first-org-2015,1,2015-03-17
ET POLICY Dropbox.com Offsite File Backup in Use | Potential Corporate Privacy Violation | tls | 49175,ET POLICY Dropbox.com Offsite File Backup in Use,2012647,Potential Corporate Privacy Violation,1,TCP,tls,108.160.166.9,443,192.168.0.54,49175,,,2015-03-16T03:32:10.865935-0600,first-org-2015,2,2015-03-16
ET POLICY Dropbox.com Offsite File Backup in Use | Potential Corporate Privacy Violation | tls | 49176,ET POLICY Dropbox.com Offsite File Backup in Use,2012647,Potential Corporate Privacy Violation,1,TCP,tls,108.160.165.10,443,192.168.0.54,49176,,,2015-03-16T04:34:03.865175-0600,first-org-2015,1,2015-03-16
